Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 8 2 7 3 6 4 5 ;0;0;8;0.00
e1006.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1008.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1010.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1206.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1208.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1210.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1211.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1410.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1411.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1808.txt;1 18 2 17 3 16 4 15 5 14 6 13 7 12 8 11 9 10 ;0;0;18;0.00
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 8 2 7 3 6 4 5 ;0;0;8;0.00
e1006.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1008.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1010.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1206.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1208.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1210.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1211.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1410.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1411.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1808.txt;1 18 2 17 3 16 4 15 5 14 6 13 7 12 8 11 9 10 ;0;0;18;0.00
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 8 2 7 3 6 4 5 ;0;0;8;0.27
e1006.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.03
e1008.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1010.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.03
e1206.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1208.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.04
e1210.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1211.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.08
e1410.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1411.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.02
e1808.txt;1 18 2 17 3 16 4 15 5 14 6 13 7 12 8 11 9 10 ;0;0;18;0.00
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 6 8 5 3 4 7 2 ;4;4;45;0.08
e1006.txt;2 1 9 4 8 10 3 5 6 7 ;12;12;233;0.01
e1008.txt;3 9 1 8 7 10 5 4 6 2 ;24;24;121;0.00
e1010.txt;4 1 9 10 2 7 8 6 3 5 ;51;51;455;0.00
e1206.txt;8 5 4 1 10 11 3 2 6 9 7 12 ;22;22;3982;0.09
e1208.txt;10 3 6 2 1 11 4 7 12 9 8 5 ;69;69;8813;0.19
e1210.txt;7 6 4 8 11 10 5 1 2 12 9 3 ;81;81;7233;0.17
e1211.txt;4 1 9 3 11 6 8 5 7 12 10 2 ;104;104;3210;0.07
e1410.txt;1 4 7 13 9 12 11 3 6 14 2 5 10 8 ;115;115;40804;1.09
e1411.txt;1 9 7 3 4 13 12 5 8 2 6 14 11 10 ;132;132;36401;1.04
e1808.txt;3 12 2 17 6 15 11 14 16 4 9 5 10 13 7 1 18 8 ;135;135;1687516;67.23
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 8 2 7 3 6 4 5 ;0;0;8;0.05
e1006.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.01
e1008.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1010.txt;1 10 2 9 3 8 4 7 5 6 ;0;0;10;0.00
e1206.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1208.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1210.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1211.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;0;0;12;0.00
e1410.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1411.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;0;0;14;0.00
e1808.txt;1 18 2 17 3 16 4 15 5 14 6 13 7 12 8 11 9 10 ;0;0;18;0.01
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;1 8 2 7 3 6 4 5 ;24;24;8;0.03
e1006.txt;1 10 2 9 3 8 4 7 5 6 ;24;24;10;0.01
e1008.txt;1 10 2 9 3 8 4 7 5 6 ;32;32;10;0.00
e1010.txt;1 10 2 9 3 8 4 7 5 6 ;40;40;10;0.00
e1206.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;24;24;12;0.00
e1208.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;32;32;12;0.00
e1210.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;40;40;12;0.00
e1211.txt;1 12 2 11 3 10 4 9 5 8 6 7 ;44;44;12;0.00
e1410.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;40;40;14;0.00
e1411.txt;1 14 2 13 3 12 4 11 5 10 6 9 7 8 ;44;44;14;0.00
e1808.txt;1 18 2 17 3 16 4 15 5 14 6 13 7 12 8 11 9 10 ;32;32;18;0.00
Resultados: bnb
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.txt;7 1 8 2 3 4 5 6 ;79;79;3623;0.02
e1006.txt;8 5 2 9 3 4 6 7 1 10 ;138;138;18941;0.14
