Resultados: pli
Instancia;Solucao;Custo;Lim. Inf.;Nos;Tempo
e0806.dat;8 4 7 5 2 3 6 1;4;4.00;549;0.34
e1006.dat;8 10 2 7 4 1 9 6 5 3;12;12.00;5355;5.51
e1008.dat;3 9 1 8 5 10 7 4 6 2;24;24.00;9359;12.69
e1010.dat;4 1 10 8 2 7 9 6 3 5;51;51.00;14037;26.92
e1206.dat;7 8 5 12 3 2 10 11 6 4 9 1;22;3.00;68395;180.07
e1208.dat;3 4 7 2 1 9 5 8 12 10 11 6;92;0.00;61529;180.03
e1210.dat;8 7 10 6 3 4 9 1 11 2 5 12;91;0.00;55957;180.04
e1211.dat;4 1 9 2 11 6 8 5 7 12 10 3;105;0.00;52687;180.04
e1410.dat;12 8 7 14 2 13 3 11 10 1 9 6 4 5;140;0.00;48227;180.05
e1411.dat;14 6 8 12 11 2 3 10 5 13 9 1 4 7;137;0.00;43525;180.07
e1808.dat;16 5 15 1 11 3 7 13 2 17 6 14 9 4 8 18 12 10;160;0.00;39141;180.05
