iteration	cost
0	10427
1	10285
3	9901
4	9439
5	9221
6	9173
7	9096
10	8784
12	8544
13	8530
18	8413
23	8269
24	8204
25	8115
26	8045
29	7857
30	7552
36	7495
38	7492
40	7435
41	7271
45	7244
54	6943
64	6932
70	6885
74	6726
81	6687
84	6646
87	6614
92	6483
94	6392
111	6293
150	6230
156	6201
166	6175
182	6062
198	5974
204	5803
211	5792
222	5773
225	5758
275	5732
283	5589
289	5496
295	5471
318	5412
319	5404
362	5369
386	5334
470	5315
3724	5292
4095	5224
4341	5221
4389	5210
4951	5188
4975	5167
4976	5159
6049	5137
6370	5093
6596	5090
7869	5089
7897	5082
7906	4989
7943	4907
7976	4885
8129	4866
8192	4842
